Protein IDs	Leading	Core mucus proteome (yes if included)	Annotation (IC=intracellular, S=secreted, S+ER=secreted with ER retention motif, TM=transmembrane, L=lipidated and P=plasma)	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Intensity UCA_1	Intensity UCA_2	Intensity UCA_3	Intensity UCA_4	Intensity UCA_5	Intensity UCA_6	Intensity UCA_7	Intensity UCA_8	Intensity UCA_9	Intensity UCA_10	Intensity UCA_11	Intensity UCA_12	Intensity UCA_13	Intensity UCA_14	Intensity UCA_15	Intensity UCA_16	Intensity UCA_17	Intensity UCA_18	Intensity UCA_19	Intensity UCA_20	Intensity UCA_21	Intensity UCA_22	Intensity UCA_23	Intensity UCA_24	Intensity UCA_25	Intensity UCA_26	Intensity UCA_27	Intensity UCA_28	Intensity UCA_29	Intensity UCA_30	Intensity UCA_31	Intensity UCA_32	Intensity UCA_33	Intensity UCA_34	Intensity UCA_35	Intensity UCA_36	Intensity UCR_1	Intensity UCR_2	Intensity UCR_3	Intensity UCR_4	Intensity UCR_5	Intensity UCR_6	Intensity UCR_7	Intensity UCR_8	Intensity UCR_9	Intensity UCR_10	Intensity UCR_11	Intensity UCR_12	Intensity UCR_13	Intensity UCR_14	Intensity UCR_15	Intensity UCR_16	Intensity UCR_17	Intensity UCR_18	Intensity UCR_19	Intensity UCR_20	Intensity UCR_21	Intensity UCR_22	Intensity UCR_23	Intensity UCR_24	Intensity UCR_25	Intensity UCR_26	Intensity UCR_27	Intensity UCR_28	Intensity C_1	Intensity C_2	Intensity C_3	Intensity C_4	Intensity C_5	Intensity C_6	Intensity C_7	Intensity C_8	Intensity C_9	Intensity C_10	Intensity C_11	Intensity C_12	Intensity C_13	Intensity C_14	Intensity C_15	Intensity C_16	Intensity C_17	Intensity C_18	Intensity C_19	Intensity C_20	Intensity C_21	Intensity C_22	Intensity C_23	Intensity C_24	Intensity C_25	Intensity C_26	Intensity C_27	Intensity C_28	Intensity C_29	Intensity C_30	Intensity C_31	Intensity C_32	Intensity C_33	Intensity C_34	Intensity C_35	Intensity C_36	Intensity C_37	Intensity C_38	Intensity C_39	Intensity C_40	Intensity C_41	Intensity C_42	Intensity C_43	Intensity C_44	Intensity C_45	Intensity C_46	Intensity C_47	Number of IDs in controls	Number of IDs in UCA	Number of IDs in UCR	Number of IDs in total	Sequence annotation (SIGNAL or NC (non-classical))	Sequence annotation (ER retention)
P01024	P01024		P	17	17	17	Complement C3;Complement C3 beta chain;Complement C3 alpha chain;C3a anaphylatoxin;Complement C3b alpha chain;Complement C3c alpha chain fragment 1;Complement C3dg fragment;Complement C3g fragment;Complement C3d fragment;Complement C3f fragment;Complement C3c alpha chain fragment 2	C3		482079.6211	1292843.469	1028967.675	5434272.059	13307011.0202363	617250.450936663	13961217.3837385	163232.729387585	5201538.10171957	9890470.27459224	3568710.40997272	576593.522876756	4126219.01683322	11657775.2922815	8783450.42320357	17614057.8389961	16214158.6903317	10720116.2020074	6438709.17143696		459450.45179269	793396.399808951		14884367.448741	15837725.1441933		637142.555576968	2334693.0901547	437534.7216	42119962.7908644	70631661.6873558	5503328.12471508	19002453.5449833	1019800.77103556	4775225.05257578	9449838.70167549	8683894.273	4617965.234	3539186.12	2645188.298	6075099.992	5535132.026	4711392.452	2255887.037	1653067.811	1991149.472	1916381.01	636788.7063	11739433.03	30632379.83	16283509.27	958992.8683	6537526.856	5495374.17	8994074.92366307	16090450.33	4937391.445			841838.3155	3297645.965	755558.6739	550526.1416	7203561.71632306	35178777.5050147	4556117.99183294		15367585.5081247	10076719.8324374	11821868.274336	6378173.23302173	8292734.49955176	7394420.53167005	642019.402018601	1370580.14521846	10195694.7910714		7199687.98156973	10772411.7935833	490207.850103567	1110555.26933285	440457.395080216	7876486.86511186	659633.620088424	2784378.69113267	28551635.8960169	18587658.7767557	968110.869209276	37138670.880521	26613606.7133427	90744934.2762955	9845864.76306242		6625585.29512321	6529850.32358753	5265128.48474733	1435925.44805408	2655263.56553935	10279396.1139529	13404716.6877917	8227497.30976014	20657111.7817486	20838756.2891256	529989.78609726		16831586.9624869	79894379.0797735	2935513.63765132	7818974.81354179		42	32	26	100	SIGNAL 1 22	
Q9BUH6	Q9BUH6		IC	1	1	1	Uncharacterized protein C9orf142	C9orf142	4802495.721			820864.3011		997198.189898915			649453.875488897		1207818.7269888	1640215.09093454				1046895.03491395	1399893.58647095		2104821.97362249		508339.789294894			1537802.81412873		1866437.22780871			1026235.18463175			1230665.42118767		3980570.53749933	863022.365381056	1220335.29121381	1210964.5593236	2086703.241	724572.9133	382681.6644	596452.0836			1048361.383	1157585.188					1350559.909	2319053.723	870429.3133	1036686.805		1304425.883			4519484.321				1120386.983	2486452.607	2234708.961	1524501.10270849		1272810.08125271		915687.381477924			928950.916619404	653995.433122315					1979308.35775461		461406.078743843	743913.6966933		789917.406286175	1688695.7963263	444576.317353692		861602.06804143	412870.300068706	1804732.24712345					1610374.327101		959715.544896641		1285284.11472515		1693516.96048185			1455576.50665618	1484355.41708407	1827645.74823257	2139295.40571805			4640045.31184309	3669255.4677184		24	17	16	57		
P00915	P00915		IC	19	19	19	Carbonic anhydrase 1	CA1	44954188.78	215836498.5	55796471.56		15137742.74	41118527.0113039	147671991.169425	36261817.4980404	19543966.1985359	11617207.4585512	50176723.2011043	187160068.854671	37712526.4789	144332169.309995	7131572.20783427	42886939.3107871	199304882.431966	37613270.3420525	18817816.7260658	169049667.742598	2028886.06350627	18966062.9537489	2289039.82434896	3780929.49579391	3293953.56877811	15618110.9558456	219064758.572088		2121559.36268577		18964365.9813984	3498604.17973292	2783053.85456391	2344149.91211135	332929957.766417	9471822.6473949	132875580.244211	1823835.142	98500507.15	110159419.9	76136438.39	143552842	179315470.5	45098198.95	85762667.45	30682374.71	39020561.51	65265248.81	25414719.36	80911922.48	23887617.97	29437224.96	314508.9351	1883678.953	1483395.759	186814056.155242	15501346.41	8593227.743	253977876.2	261460789.4	27507574.98	137438506.9	91912553.02	31837152.76	106194739.76509	101362136.724255	112297101.643285	78891885.758024	67982697.2944643	57039342.6459504	68197060.6118957	47431908.6310551	52738564.1087248	130762558.988845	384077132.115287	76895519.9535358	17181294.6872141	22178074.1562935	104605298.232827	48592944.5036639	18778625.1182128	42910087.2136075	51913938.667144	40583978.7052125	98581073.7544324	16137469.6035241	43936428.8952723	78838971.3594845	4916996.68864712	62142180.4255262	44290573.2574726	158622417.441878	13262248.831644	7915531.40156191	1200931.79011683	5423524.06283508	70938071.9891762	54814349.9514522	1961170.7014772	14387541.4150301	11108783.6582622	18999524.5133881	93953185.9389812	29418704.6994588	14225940.819728	22011633.1935095	17993930.8450886	6520817.4904531	4308931.4409969	6471447.85398242	154841904.012755	47	33	28	108		
P00918	P00918		IC	16	16	16	Carbonic anhydrase 2	CA2	15021507.92	71482268.92	21490403.41	8522160.004	17409379.32	32281677.606051	158254897.226473	40194696.4584451	17920054.6752546	19407190.763542	43003730.9879332	104542297.246566	32496045.9100332	180336940.396003	4822218.28977776	41806663.761397	111661648.774592	48599195.9961922	54845513.3260398	231453100.200287	1305779.26358585	40315897.5904978	1531153.6378255	28214144.9206069	16615404.9470711	38919884.7723962	234237827.317933	951132.635495458	69860086.989133	853353.1247	24679405.5620656	1726737.57616892	6488270.04905726	28826918.6585029	79725317.6364339	1297353.0529849	56382282.6487258	6470143.387	40233517.32	55891421.71	54181453.62	119846176.6	151595204.5	32295120.07	56080520.27	35865748.5	27255570.14	29295064.99	33445137.55	121396700.8	65116524.07	81693175.78	12489451.86	17836214.65	13285910.37	103189308.421121	24197223.67	84172141.54	57541539.88	84914135.14	23336308.43	28096257.8	63130852.18	28878755.69	48143634.5564855	40087292.3364037	53472137.2340791	92254629.7118751	53735176.0045545	38998471.227222	51579192.4996816	24122418.7301693	41063362.1258832	87636017.8072155	233877993.11818	103814787.805353	9202221.16302359	102232439.295982	63309359.5609309	38252219.1963085	43853531.434014	56887965.0000132	59053080.3697347	52809799.6671503	60200515.4106817	14558237.8122188	15733583.539567	138355442.77028	29971028.6136765	135546044.430103	23921926.4671117	65038074.612606	30838529.0565193	47864072.834861	27834992.6024593	49149876.015136	57421353.2941016	57372187.9273817	1122852.02095165	40203458.8962932	29237824.0798936	8493265.45377259	52284277.4673077	83621507.05427	74709714.6110799	92343926.5788333	22207124.7258003	113360355.835427	88693511.6179259	82593802.8247078	83651516.7088085	47	36	28	111		
Q9HB71	Q9HB71		IC	5	5	5	Calcyclin-binding protein	CACYBP	1192175.994	2039392.829		175771.0823		2432558.75421128	2256385.00132347	2146180.75149406	1042891.15078507	815833.245242756	2234259.31118271	1381037.8411046	37754975.6670347		7607808.43523367	2783329.9530036	1825860.73199451	2628254.67586496	2765925.35139887	3569801.05439873		405115.535494187	975572.099846507	1543377.00714194	447438.061560986	9690653.16905616	4212196.56881511	263691.85045468	1266672.80308769		3024793.67128047	2348445.15636682	1500606.4551991	1432433.8911375	777869.664392509		2194150.60710954	1140544.057	1206885.741	3921294.571	233298.2667	1953444.31	2966870.071	1948283.697	2060580.904	823728.0046	796745.9321	765233.9644		4379681.997	1111026.61		1548763.786		1872852.22	856495.182275068		22607433.76	3752462.197	3225148.81	1093058.783	1003870.695	2584911.626	1207603.12	3380418.57502188	428711.774103231	1155448.844237	5097842.43257022		611062.83700154	952683.601749412		277946.766084827	2151291.37023665	412985.974139009	856546.274078815	237205.181836579	10472654.709075	793208.371087374	645672.254809655	878453.443490164	2327455.95710082	598331.890565034	1257713.37243303	903092.657320619		599696.145656198	3374181.11143255	781530.919110696	6552920.31599641	3723200.17203546	3489468.91449851	2924359.37736477	689023.822137314	3343044.25634306	358898.74271971	2015675.64368522	904614.172639227		650366.010724614	1493857.65617505	865278.153605627	1216711.54689054		2826034.81624006	34622780.6211311		3176427.2903164	33707342.5952532	3121948.5636511	4283681.93052138	41	30	24	95		
Q05682	Q05682		IC	8	8	8	Caldesmon	CALD1		420583.7417	59171350.95	23080135	3386411.697	67827.7080155758	538872.410496489	793660.484526017		588374.914140106	1534253.75429812		1580206.80010173	861585.742877536			471107.745978113				12155371.9936273		47864445.1556515		272507.460345974	3842823.23636437	486836.022099392	50450144.8335924		94910130.91	41518188.4960357	15935596.0721283		23233551.4794019	325124.725405568	41356804.5523223	4252305.47864929	17295076.99	2141806.389	1538260.325		367183.2069		2137807.086		242393.6264	13101689.94	101652.5239	1479133.997	4681428.715					960380.2148	44229274.0905902	17840639.67	463902.9387	1222802.899	1035566.815	1313208.962	1645205.04	2947972.287	1255848.994	8199041.27289012	969953.8616282		741922.10276013			344527.29981519	1720450.4995528	979105.381133931	714654.438524793		817870.384713473				1462396.75293675	942632.319078269	872960.259460317			208881.95764323	848552.174874573	877655.376242949	1231984.58674822	848445.037704546	32689445.7500759	5888541.32311614	42563094.6417966	735258.159831567		3923400.95427244	891755.008960174		1320174.43918944	31024386.9718216	41843826.5011209	28786584.9344745	141475310.14029	870072.731538622	1758011.82748383	49079204.3640748	3628270.07875563	31782840.53989	4745747.54283536	1238647.78123119	724843.877279255	3316875.98350973	36	24	21	81		
P62158;P02585;P27482	P62158		IC	11;1;1	11;1;1	11;1;1	Calmodulin	CALM1	15440249.07	98558029.01	159260443.1	3273542.332	6735048.325	52557619.9249864	91287502.2919094	40175016.7572088	58356725.0439299	57460280.9517841	32276183.473197	25201571.7530901	61188835.3460659	26440025.3757681	44545935.2374596	59407053.1498352	19238713.6142444	19763124.8241706	9269709.62025654	87335999.8277963	6076060.59940327	6188651.83093318	4842227.23582881	8085952.15674456	14194507.4863069	29373043.4750644	16850694.8373668	6861827.35884769	11283586.6810133	4771196.197	52905283.779168	16659869.6236786	23894607.3784289	11360589.9035514	55621350.3961703	1941014.75736846	42665075.6495879	6159143.397	38500154.8	87646445.72	61241536.94	77935505.67	56929979.07	52206371.95	65263956.34	42886534.76	54412216.42	83948947.88	13003899.7	78491288.79	26356137.88	33986382.97	5916617.527	20113075.31	22122196.27	46024685.6852122	20571897.59	1522067.004	122466157.6	131320833.6	71349689.55	52848547.6	40278993.47	38209707.25	89526905.2120628	73115330.9625053	30342310.3858106	121674598.229264	23525407.7053885	36493710.1241468	59596365.9255906	49337037.7581856	55433159.7643731	77015975.512053	83791600.3666248	62247491.0731913	24501867.6422762	57906817.8235913	44404560.0500151	97743131.3670011	21878977.2640184	29677363.3107006	22964449.4667541	22999526.3675402	40281691.1057125	33686246.7931514	15031083.6179908	101436399.305632	1741932.58889621	44874710.9721958	18462657.9741886	28987598.0086801	15057543.4809437	11647769.1550429	26211328.6071931	9902796.24051575	59753020.8137871	18942145.7480127	6771789.01434112	10501965.8154009	17673386.0203863	6855879.7856253	28109326.3262242	17124664.8389904	58263650.9660054	89978388.7046342	32503251.5921275	28198550.8284322	1674882.26932661	5431351.40744829	85934557.5654753	47	36	28	111		
Q9NZT1	Q9NZT1		IC	2	2	2	Calmodulin-like protein 5	CALML5		383124.6816	3209505.364	575089.859	1602094.026	383392.077611765	817614.83892349		1488096.48862021	570722.573691727		610951.039545261	916377.810822328	3412144.45984317	981725.722149114	560852.058354606	971675.867487868			1554193.75424416												795091.40992415			210140.073906366		723144.412904771	3568873.081	4416566.646	1468246.347	836651.1132	1249091.263	508286.7612	2139145.882		826413.2215	431831.3081	463535.1774	4227649.985	548901.103	926979.3145	4422962.132		767084.3749	3319349.512	862636.081822608		2516854.162	312815.3269			10593458.06			1751826.32495569	370749.524498531	655089.815634662	3975873.2391648		1004277.37280141	541448.696368317	1169760.34431432	432190.386504019	1460500.0840736	676195.607701733	2564280.43427225				1327906.19186792	1379662.80553707	1863936.07225076	1412685.05424558	677756.54929735	1617236.74007333	3585995.81807125	957698.333570859	13762909.6872011	4570082.71457803	607927.157463221	1427702.97533679		19822500.2081758			1943508.73449258	179367.015658987									2565698.77124677		2195366.7766559				28	17	21	66		
P27797	P27797		S+ER	23	23	23	Calreticulin	CALR	1051000.406	63154217.98	94822110.44	2556620.763	61526142.55	37196684.2799606	20202921.9872072	59791305.6228769	34467009.9377108	90950541.7157686	76575798.5505326	18072611.1012475	70479961.0186933	35772365.7074255	71964343.6311993	7697233.35829183	8770226.50923779	5138643.28134998	27712837.9793701	51467774.2980873	3988140.10195277	4142162.30097207	13226862.2919309	5386733.49728665	3722305.50471176	21645457.77669	70853459.6378307	4581672.60552367	28058894.318935	7004254.855	105056230.766227	126970360.782243	33791460.0856293	9746803.03508445	55844208.9562742	121798265.861952	46284455.8272521	4679621.205	40782786.2	74357096.63	48702079.21	47439713.54	53099048.65	47696301.03	10119488.79	56057674.62	43154516.47	104820095.8	52930963.5	73035257.3	22603910.56	40562477.54	26813498.78	28913711.83	106467378.5	106237562.17243	56420699.01		105149484.2	82231469.02	28338128.29	33763748.58	16066772.33	9816646.458	44823791.8708102	58357150.0665338	11997550.1673524	60166289.8930336	15820177.7086446	23146958.7568789	52541889.0537981	45526779.5039245	38243604.829416	74875431.955321	25542309.5979247	35603570.0880491	27395302.3562219	31212070.3327091	23986998.8599541	174656684.403429	38521560.2112	103883913.631253	41185149.7867601	22303400.2998976	50773711.6069534	54354413.7891096	23995000.5039979	53595265.6670121	15425761.5660658	163014665.196031	128646610.6663	68338036.0338367	153650881.028385	4318902.83519326	24711481.0658656	6666843.81929047	88753402.4233937	45748759.2266254	54431613.3222752	8971437.80349565	32742654.1545869	78328467.9476762	44767475.2389358	35740603.375103	17209699.290552	20568048.5420752	32052237.9501805	10029404.9070318	1737321.59149887		87863333.4616249	46	36	27	109	SIGNAL 1 17	MOTIF 414 417 Prevents secretion from ER.
Q01518	Q01518		IC	19	19	19	Adenylyl cyclase-associated protein 1	CAP1	148872448.8	59288127.87	30982148.95	126507239.2	3004349.728	53866440.6244924	33514094.6786695	44178742.6420643	27363435.1529516	37500019.9549988	36834592.6468344	105840933.050349	30843389.3158005	28519632.0535452	51761305.8673911	203191728.773658	95344991.1930409	158837874.526695	121495724.664663	67382875.4630728	2191945.93171346	51917039.4483512	75621475.5750853	78014897.8019847	73880169.4213493	138011223.420584	37357812.9581664	14004935.5195577	75351807.9460414	8554996.377	31910989.0145094	43579492.2586433	62730755.8470913	20186481.9539129	38942201.1374156	5094068.68048665	40520417.1614358	68222412.17	26683173.95	38493357.6	30409590.76	43719136.45	38446353.96	46744918.72	65154328.54	37576442.87	9674509.248	27372962.45	25805656.37	68917618.5	82618998.06	28087064.71	11249015.44	16697438.82	42860612.08	27005160.6608656	29596803.03	7410192.149	45041937.55	49668084.93	63136656.56	56036665.78	90276772.95	79686595.94	47670385.4209652	24163665.5319954	26203993.5862236	50158592.0471736	63680027.047369	30248286.0579264	35383639.3852638	38923806.5640295	29990694.4883066	40198325.6981228	37315483.9577379	39099785.6013222	33073057.5530758	56974774.9367442	31978006.6212515	35491870.9673783	38718814.6767274	59206221.5264535	39529713.2646906	101925171.063765	37117585.0156065	30689660.2836996	34887997.3783436	43766234.0378044	36800599.7211614	43780776.1146727	26545987.5175298	31097731.1067947	24561536.3180729	57970795.2705899	20290970.2209927	61228481.8294486	27371324.8622668	44918935.2934206	4467179.97517724	43444449.5164042	18778083.0280561	14589374.003192	52404695.1830465	37736014.7009345	10745860.8170562	28001296.4006164	8602858.19984965	30309936.150178	25984649.4014321	14044620.4763082	49166915.5917899	47	36	28	111		
P40121	P40121		IC	9	9	9	Macrophage-capping protein	CAPG	10597607.37	17220664.15	8558023.421	4089612.628	1135038.154	13460066.0526256	14271256.9219139	15347105.6774694	1830817.67270174	12800406.129472	19985589.8499229	11098471.5256865	5756873.04253656	6815378.03988579	25039403.8391349	9369499.9087477	15645912.9013187	13982349.4996614	18576082.295774	16428364.8142389	1750097.89968153	8487340.09693458	432090.490159999	8290669.85032584	6985343.12702523	24853241.7922968	24050172.8151124	700116.223706976	15487469.9873327	1529618.92	14251274.5475536	30993858.6046879	16328621.1302862	79015860.0210029	20352687.5704212	10113224.5862603	9375098.42927901	9479769.726	9056947.526	9223829.814	7349671.697	10444375.38	9834100.513	36773394.57	6259747.104	7646683.178	4584017.692	5361903.217	3437575.832	20431941.42	18514220.39	8799109.663	8446458.168	11574329.59	20248077.75	12857662.5667053	24164367.13	45877671.82	13222421.14	12367667.75	13808800.69	20757710.69	16056736.87	15178977.11	17102040.6348668	6469840.29371381	4422998.99391967	5880860.58648971	12405440.5903721	5009522.20615038	12245999.6807251	3703250.27571249	8401863.03762121	12699706.6285465	10731680.916521	7607319.30877432	1739876.01127085	6357506.74915457	6738116.25325127	11065845.7450062	14166937.7272526	15985982.0791499	5781982.0313446	17733255.6985689	10039000.0970824	2503977.82992535	8994771.4338039	12846128.0709649	15307091.8670708	23807696.7847204	19459059.5434579	23466570.3201986	16212762.3454189	11549687.038578	13322123.5652694	12120983.8527561	8677730.96261714	22249654.2090534	675774.84662136	30281402.7737884	5614615.91859798	2571465.48146455	26217126.1293639	21547879.9930407	33209406.6586626	21499099.9874331	10440209.0767747	28203095.6307853	35650998.3270315	54730690.4067299	17633960.1537478	47	36	28	111		
P07384	P07384		IC	3	3	3	Calpain-1 catalytic subunit	CAPN1	1448844.379	1041965.821		444861.8186		804570.578712797	630671.988887933	709606.29391223		1069141.59811656	588463.702780923	1104348.04330182			1153414.54124082	960040.880742984	850071.111379804	665041.629421577	755017.203944748	3243642.95483493							1355957.03410983		291802.599233882		2282383.39185544	1466930.08104308		676636.163153161	1766490.96804237		1304583.5646325		613589.8004	494591.4338	954454.5389	891732.4402	653158.7669	891889.5348	577274.6707	2234160.821	1116654.283	1539672.13	1061937.467	2734803.769	1728413.457	931474.8751		457631.7169		3931902.06772767		1188402.107	677621.9779	746972.8775	741996.6555	641767.262	1051995.028	633358.5627	588934.886698303	986043.607717793	1078985.61260428	1168809.29237613	1075210.91045042	477750.223028657	452013.278286596	565013.186992526	741401.702950446	1567677.58098019	342871.902685985		494035.664528296	959257.240128562	1296102.47835677	1142205.76331518	1145153.68219042	1783243.92331457	1017812.39250177	821616.901998607	1133169.75813645	2546028.65582638		3627765.03030191		2488159.00876018	2574764.47540609	1079415.77896156	1635217.32332483			1582447.84695433	2172970.19072339	1597528.944137				555712.081810446	1176590.55341936						1137854.64175628	1835646.97148912	826618.241206967	34	21	24	79		
Q14444	Q14444		IC	4	4	4	Caprin-1	CAPRIN1		2610721.766	1100855.08			1406874.46673488	1511793.61714183	1349546.44544789	1564613.56073664	1928641.15920531	2580132.59983308	1586831.43020573	1507995.48455575		2616252.03534772	700207.60422593			2127383.85378306	276821.940625359		983952.022404598		1400729.24216684	2131156.27654191	1520580.30280446	1550019.62908813		2021057.27981424		2082901.87259381	1091996.22791917			1625623.62702784		2591091.74668928	850488.1572	1104133.106	2518865.457	1496768.904	1658335.899	210255.1144	1306665.445	1672920.154	1714616.603	1301012.405	2117297.941	437105.7121	5919538.022	2151125.015		2931521.93		1279416.531				2694978.285	2289100.254	1402593.245	1810455.317	2187953.409	3017457.136	1926620.89316013	1676825.68831074	1353082.44083776	3910913.28028012		285803.12907576	953228.524327214	814698.470272477	1626273.81566612	1932652.28292859	375885.412711856	1494353.6018568		4394176.2694602	1152002.95760923		3248191.31739164	3419296.9560615	961254.512711039	1258790.91401194	1189876.16866235	1787346.16639516		551329.102001898		1492461.17157221	1190250.53481434	1664317.92164451	630081.168410574	890817.115664187		941951.363067485	1152903.769935	2331522.35778277		693832.139108042		656610.143545597			618003.582575458						3627448.2655632	32	23	23	78		
P52907	P52907		IC	9	9	7	F-actin-capping protein subunit alpha-1	CAPZA1	35547800.28	27069700.38	13956350.95	12487836.72	30692243.02	21470818.6281314	24193842.0177349	24123377.7754792	12253251.2518711	15913885.4958627	39159426.9551109	43218768.7532641	8935792.58093807	9444930.50211035	34546715.7279858	38625252.2684431	29797961.5505696	44641954.4900457	49736859.0325396	23412416.6130075	5877502.05175384	26183793.3282543	7321789.65990184	42974846.0634204	35546950.8420924	43856244.9801587	35240454.1573311	9953067.76614925	36205504.0413536	8734138.878	45760878.8965988	43189741.567504	27182164.948843	4004194.52128562	20970472.2300582	42898398.0154253	13649209.131353	28092348.58	12574492.78	13188013.06	12556639.35	12622197.56	25377489.76	21833261.69	22820290.5	15194103.84	6681040.231	8313632.472	7703175.312	23633837.84	61163938.21	24584450.51	25339616.92	40821796.71	34227285.34	54592350.3551525	38922507.81	2778771.995	13214160.36	19679194.94	30383840.48	25771498.1	37178036.16	34013475.85	23301367.6856156	7113430.13729753	11132677.6417532	11562246.0580763	24459259.6617304	16403219.0606783	16394449.8553154	17732632.2281578	10089993.5980888	11688810.8828286	27342726.2065929	10130536.4531031	19380366.1127393	32059027.7713492	26038009.0766229	14567302.7999661	20488028.2493713	19301719.730062	18326244.4364512	39788650.3969723	19095040.5491479	4279601.8634366	19513712.8120334	6961593.59183063	28839768.5634038	50964003.3241489	24207672.1010308	22631968.4267709	37342035.2978041	24465700.6039102	51073848.1842462	26620327.0059104	13692981.2933453	30897975.5129221	4428650.09892032	54269430.450465	34846965.0812673	14767380.7040103	3200976.56096566	44562691.586773			12918967.9451667		883967.7028483	3039461.42522953	20204911.5815017	44	36	28	108		
P47755	P47755		IC	7	5	5	F-actin-capping protein subunit alpha-2	CAPZA2	16377431.64	14137285.6	20162150.84	7246573.489	6500391.243	3356586.16806251	5383112.31209328	5101853.21384203	4265466.88556391	3673927.51282451	9047917.46787339	14086179.8911979	4389723.01029739	2686630.25986593	4910805.1931377	12789382.2292294	10931514.9233186	7863268.25710943	21665448.3149033	9710110.26240499	2845615.75426336	6545679.08074396	2089185.92399255	8086944.00603516	6214871.75046221	5634875.01328114	9385545.01441106	5942264.63613509	9140119.8445981	4018546.505	10211395.403296	6993105.72061175	5066312.46210857	13834742.4569777	10085127.2582844	14005593.3021353	5010323.90349184	7639851.103	2754557.742	5149405.256	4664965.676	4044455.121	7506192.916	5220804.544	13881408.74	6486005.706	1980684.798	4144626.889	3765390.814	7952229.944	12306316.66	9649914.159	2921098.095	6522877.555	4828809.87	12866787.5981614	10567774.63	11944093.97	12257974.34	15501952.06	20089068.95	14568865.17	24496559.19	15338088.72	5108724.41794221	4215644.02108057	2770158.23127479	3563189.51322778	6820341.21007716	5460379.20470391	5526423.14320663	3783160.62661825	4547970.61380868	3113784.37541606	7198319.28050764	3612349.28806147	3926586.244189	7318647.56027398	6940195.52874258	9225300.09457471	8695261.53761654	6026678.44611686	5731217.60577178	9788353.49511382	4519284.96382082	3618324.71630268	5875555.51849199	3010017.04703725	2971982.99807676	15649280.9289729	11076460.527035	8431721.81584856	10949242.3928675	6252399.86150526	12448383.340667	6279214.49622195	4520678.21675671	7758264.41187586	2500654.27394908	7111029.69837285	7523331.01218572	3724341.74812871	7400215.9854065	48860352.7697598	14401651.9660701	11163519.1217014	22768621.5753383	7964441.49503541	10919833.7734853	17413319.3592031	12017454.7162137	47	36	28	111		
P47756	P47756		IC	6	6	6	F-actin-capping protein subunit beta	CAPZB	38885765.45	19255714.19	6059494.839	1987959.228	626368.1168	9344363.87884957	7043969.17738729	5551425.05541837	217890.944722848	17525003.1318324	11102167.527905	10949995.575482	6912540.26557435		7848756.10604315	9968242.63199717	7303479.82262491	16786898.3468903	12474705.2752088	6745750.81875816	943185.609283005	3187935.62425308		1934760.73721546	2345651.62412096	2559709.63012163	4883628.71784509	2796429.64281807	6966824.18802034	3126487.639	24125458.3993208	14234578.8856985	12449540.3645164	8089446.18454455	11093173.5359637	3457441.24285096	11520904.5607693	2522854.053	3138874.843	6707113.909	13550361.69	11325052.24	8945086.759	8603441.408	3129451.907	6782435.551		4483109.312		8718763.946	8774997.467	1177692.54	3654402.803	4917258.914	11868713.77	12163913.5535636	5057130.895	7884768.039	17572757.75	23028020.43	7049479.412	6974897.544	14575948.91	6533149.33	1857834.13131225	3532564.13131347	3603475.13899514	3878955.48700245	8485596.36938926	5053685.09928355	9959141.26255022	1592787.49258674	8373417.21016235	8868073.53436823	5984887.81274776		18015293.6698994	8786533.91865339	5821394.00723743	2191490.77534644	9951996.17365737	15008214.0203791	6211615.4183959	14282728.1092274	9039783.15850441		3915397.39867696	4005238.35677077	5195047.58921186	16799833.1783586	7074712.89353789	8127756.92280073	7987519.96348813	4725608.55539172	6022309.381252	9496831.92938598	9708470.72413126	9565960.41182311	1683298.4583023	5385391.88325021	16491863.5613438	4259189.78872696	15745711.0393631	7693383.63506805	2758664.99757144	13590722.7268091	2606616.69547818	8822759.88228875	12300917.3946026	3215813.23840669	24924508.1110596	45	34	26	105		
