Major	Annotation R	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Intensity UCAnoninf_1	Intensity UCAnoninf_2	Intensity UCAnoninf_3	Intensity UCAnoninf_4	Intensity UCAnoninf_5	Intensity UCAnoninf_6	Intensity UCAnoninf_7	Intensity UCAnoninf_8	Intensity UCAnoninf_9	Intensity UCAnoninf_10	Intensity UCAnoninf_11	Intensity UCAnoninf_12	Intensity UCAnoninf_13	Intensity UCAnoninf_14	Intensity UCAnoninf_15	Intensity UCAnoninf_16	Intensity UCAnoninf_17	Intensity UCAnoninf_18	Intensity UCAinf_1	Intensity UCAinf_2	Intensity UCAinf_3	Intensity UCAinf_4	Intensity UCAinf_5	Intensity UCAinf_6	Intensity UCAinf_7	Intensity UCAinf_8	Intensity UCAinf_9	Intensity UCAinf_10	Intensity UCAinf_11	Intensity UCAinf_12	Intensity UCAinf_13	Intensity UCAinf_14	Intensity UCAinf_15	Intensity UCR_1	Intensity UCR_2	Intensity UCR_3	Intensity UCR_4	Intensity UCR_5	Intensity UCR_6	Intensity UCR_7	Intensity UCR_8	Intensity UCR_9	Intensity UCR_10	Intensity UCR_11	Intensity UCR_12	Intensity UCR_13	Intensity UCR_14	Intensity UCR_15	Intensity UCR_16	Intensity UCR_17	Intensity UCR_18	Intensity UCR_19	Intensity UCR_20	Intensity UCR_21	Intensity UCR_22	Intensity UCR_23	Intensity C_1	Intensity C_2	Intensity C_3	Intensity C_4	Intensity C_5	Intensity C_6	Intensity C_7	Intensity C_8	Intensity C_9	Intensity C_10	Intensity C_11	Intensity C_12	Intensity C_13	Intensity C_14	Intensity C_15	Intensity C_16	Intensity C_17	Intensity C_18	Intensity C_19	Intensity C_20	Intensity C_21	Intensity C_22	Intensity C_23	Intensity C_24	Intensity C_25	Intensity C_26	Intensity C_27	Intensity C_28	Intensity C_29	Intensity C_30	Intensity C_31	Intensity C_32	Intensity C_33	Intensity C_34	Intensity C_35	Intensity C_36	Intensity C_37	Intensity C_38	Intensity C_39	Intensity C_40	Intensity C_41	Intensity C_42	Intensity C_43	Intensity C_44	Intensity C_45	Intensity C_46	Intensity C_47
O43633	IC	5	5	5	Charged multivesicular body protein 2a	CHMP2A	749094.683700001	3507456.72000001	2209863.789	270561.6241		2223535.17814443	4687779.14577345	2516473.72491526	2822701.80276623	2004937.40589056	631026.232451923			1083734.20888884	613276.163125122		161347.925161728		2190804.13158277	2219257.96897743	1662770.27876221	1282491.76615454	876413.045349981	1427499.11485909	105853.9223		730737.693370076	641188.82213551	9640707.29951729	4554503.3825146	1856646.54631611	429956.863846631	2075727.42106805	2714893.77179131		3068434.24100001	1175785.027	965980.6611	1915465.207	2499700.531	3974422.75400001	1755694.309	958149.044600003	4111513.08900001	3350080.18400001	1252782.482	565190.0588			3200736.25900001	13680000.46	1900497.159	2462896.63400001	5102693.619	3786713.77900001	4410223.012	2129692.09721192	1195667.21650776	1879784.59643679	6842205.31564331	2474212.97870553	1611385.32385073	1032015.24703439	2628248.67622657	1351952.59959014	1890863.58146992	1739480.78626711	3426078.98962291	1102587.85908533	2667850.98099267	2008403.59559323	3559062.27779533	6367252.13415449	1428145.89982014	1459663.65825026	5285255.92536149	2751728.91985021	4500043.08461469	887783.716932767	494170.069032853	412229.949636327			106407.736604492		1242414.08893463		450331.522806287	246761.538527219	638445.788609435					685669.420482154	941654.78297669	7347807.10781891	12758740.8163536	1682765.19441344	6411742.23397915	13312805.3404596	4147586.05776077	3801881.58421791
Q9UQN3	IC	2	2	2	Charged multivesicular body protein 2b	CHMP2B		727234.979500001	1037467.184			1160545.83837364	2427391.43206158		1363846.27866261												1024833.11722212						523974.818629293		27739083.7164876			1062125.33083366		1089572.58523167			397895.050000001	819117.428800001	362044.2573	667708.050500001	823607.320700001	706283.731700001				1724677.058				2308056.4	5008477.70700001	2465844.724	1588956.847	362142.6626						3006747.93615768		529855.845449209	477442.998584014				907378.260887173	2132956.72982749		1828103.07269677			1286119.45075086	1821618.69121256		1279828.63055249	280474.710855329	1685986.93006956																		9298040.25503852	1715473.75101796	1860081.06347284		3460866.99187138	6612138.75470969		1543864.20492091
Q9H444	IC	5	5	5	Charged multivesicular body protein 4b	CHMP4B	5362412.459	9307601.82700001	14492583.61		8527926.97600001	4984516.96919343	428211.408524315	9268708.6856349	5617225.95859559		4625788.63889572		1422561.9084887	1557957.19171386	2783716.10223622		2478638.80737094	2031807.80209299	895838.920831278	724494.025509182	716823.163958643	1512237.41369472	2754620.50055111	5890893.07180796		6438500.62927923	1272450.88195032	3380052.82478223	2862745.86756367	12348437.3326421	412048.812655305	4109936.80434645	432892.201461827	3895244.94506998	889965.792600001	4635867.05700001	1580615.203	5124634.82200001	2276190.683	3554337.523	4061767.73200001	6242423.23600001	2655536.40400001	2680111.547	9040874.72600002	718434.514700001	926727.461200002	2524931.363	10136923.457932	19333992.65	9215182.47500002	15759515.15	14063264.18	16293644.82	9010728.517	11525208.41	3239153.70806906	1855053.07856483	480030.314161965	10772700.5770985	547930.84903752	2676897.51414574	2194811.91274122	3333008.2000626	1794414.51579112	3397286.14142706	4046709.38529505	6380725.94508884	1663267.13857038	372726.223725491	982482.997159701	5197401.83990657	4237107.26157718	4414281.09221116	2288471.77700917	2511698.10892636	3078573.31428063	10689468.7965232		12418532.6298787	619421.180666178	7140471.8929073	9057700.34236174	3135724.26360372	3109306.48483685	2039742.49905409		1854601.33955407	6615641.53440457	2952004.34420181		1272115.91697735	2958574.62389839		2902614.30255996	11474095.5596452	7000798.4126494	9288678.71935536	6003627.23112551	5697234.37832688	6146996.71508185	6194357.43784787	12291307.1539469
Q9NZZ3	IC	3	3	3	Charged multivesicular body protein 5	CHMP5	3515032.85300001	1615718.639	839708.786700002			1066366.72139098	2081370.55665617			940298.84507788	722798.296676838						219594.575653526		1480877.33636695	836228.751958705	885674.66351747	802603.985582526					1356261.60039045		152721.274824417	1290299.23542961	412310.002542362	1001868.70487473	471744.304969261	603689.086945954		1019778.157	738372.2542	554148.016400001	805232.352900002	1310347.135	1774053.427	572041.587100001	311284.4235		934377.412700001							942813.8715	1364049.186	1683793.473	1738253.271	1770723.35		977101.233623374	543823.183342694		1055168.99125699		901438.174328636		601448.23185286	973691.775894064	1237002.47972073		649924.037961607	971662.828378584	1396915.48513926		1941960.04536175	903962.340786128	609631.994336611	1940430.03376027	1074461.51668698			1261647.2506249		138133.075108429		535803.202119492					637106.955548909	424942.934885879							335666.582310834	2131511.37083287					1212542.11803713
Q96FZ7	IC	1	1	1	Charged multivesicular body protein 6	CHMP6		1080545.926	607248.146700001				694029.89031497	640028.826493772			613625.023526983								413459.860232104								283890.908668144			1297140.47494908							701103.761200001	721438.931800001	755584.115400001					1437713.745	335046.441200001	787655.670100001					2094942.179	1001971.428	698827.313800001	828459.883600001	764757.846	721813.825900001	813396.951675608	326177.990554197	327063.754812825		558154.764777964	721766.686280877	386622.56895038	1238306.28199439	736902.090243318	773692.253265417	714106.532768796	458847.780443039	490762.237597172		796947.781979645	429288.227971112	667045.461673327		974332.805400987	812637.388841056		823061.18749209	622702.90629598	507804.983263517																	3418123.08661568	2110181.09342022		2318920.47491182	3570787.37492082	2338723.70305796	682494.258063196
P40879	TM	5	5	5	Chloride anion exchanger	SLC26A3	1511854.952	8633055.96000001	10136309.68		2717341.329	10408979.4196004	10087481.4373993	14271989.3994881	9957065.2560528		9290857.65911184			2125533.02977081	541965.310870045		6992692.33496634		1998951.96782005		2953108.37858816	983685.53518793	4948300.75190229	1179226.17948973		1270688.19659559	1324742.11836823			4030112.00783284		9156575.36884604	2561903.50694394	12476030.7289377		10965785.78	6191630.59600001	16349684.38	16906259.23	3286745.56	15191086.74	6962278.342	13735819.06	23664084.38	8668173.98300002	5573651.46700001	1412526.68	4636365.482	3710188.46558961	2018409.783	3954598.842	16796243.84	14211099.27	3593189.76100001	2046007.395	5052063.03200001	5164331.19136586	5206811.54388167	1852759.83601705	33270569.2956497	6808417.53663298	7182072.88923876	5891521.27033384	5186154.1231437	5959142.25419955	21709831.6840602	20178054.6337423	1598868.69383173	3482498.95423215		513130.272439142	15218829.6264027	10774974.340657	16166028.0792192	5053154.01854436	1914945.32022741	5785170.04603576	10841112.2616088	2491392.94275111	8277228.30659006	4279775.05313171	3329904.30370927	4979608.45552743	1129395.77718602	2145059.51997104	3917192.60167189	2315455.50174032	3747948.31425644	3235790.96493316	20146804.9237731		3561910.11495856	8019252.54656411			13491927.2374524	1245467.25340896	24613724.8551286		2661533.64658624	3335619.86844231	1544382.04133845	9522417.20857062
O00299	TM	11	11	11	Chloride intracellular channel protein 1	CLIC1	14741017.81	13391942.21	4167063.69000001	1411425.72	10254083.36	3307121.00910719	9794759.62104171	6382163.89247571	7396873.155519	7113884.56162119	19409745.7564579	1390429.96071733	1150928.77249889	7331551.58630887	10130164.9188977	404213.567503174	10972921.3755853	4971174.58312683	21299279.6423498	9142627.2682836	21380201.687159	18981964.1264579	9273015.44757401	8322138.43200873	708212.304200001	14015771.3275452	15370328.3582811	5449965.47796425	31725454.154198	22788583.4599293	8933347.11204464	12194192.0853087	14368805.8626774	10757147.9192361	2676259.63900001	9834814.36800004	14070496.15	22626234.5	13226600.79	23223099.87	5732636.41900001	1711955.243	4581619.14000001	3029857.141	22088602.63	3240384.59	6208484.922	6862368.18900001	8379984.96890916	7526462.01300001	14128344.52	20200720.4100001	30132217.9200001	15225512.37	17082583.95	9336614.84700002	6274810.28786437	7226678.45155897	5846409.9655827	13090684.9620592	4358736.88180091	3802952.41689272	12361795.728508	2862947.31238163	7601759.49073295	15744419.3912998	27862415.932187	6077260.80493827	5256101.18236914	12595893.8708194	9685451.92924882	9988745.63966303	2386372.32264389	14067243.6842503	3594006.60868975	4760852.35696052	7325487.94940944	6724875.99614171	2524483.32734477	15390604.1212169	3264975.88628867	49439175.0418305	24205490.8366498	29816192.6907828	14516246.2648827	5916849.36617077	7713062.57567359	8287760.54685634	20194570.5582806	19690637.5059461		3934353.05043352	6342779.90942493	3766842.57282022	13429859.4244034	34711188.9286789	33627449.2911923	31558701.4345082	13821297.9227802	50431074.6822268	10261809.8673452	12126083.4119857	23568741.7304134
P49585	IC	2	2	1	Choline-phosphate cytidylyltransferase A	PCYT1A	1557318.277	991417.803300002				810737.689580898	535993.950154263															367821.184671579							1740677.36820531				764884.388051578				383681.165400001									718502.362000001					2060500.384			945818.136900002	1872282.422	1539607.006				694873.129323554									546105.280794029			438269.940266267																								2254142.18763039	1273364.5207192	1746353.28105942			1293396.55718739	2381460.57391259	1084613.10451701
Q13185	IC	6;1	6;1	6;1	Chromobox protein homolog 3	CBX3	10940842.18	3817511.49100001	4771188.47000001		8100904.46500001	5605346.15127843		8545164.65866489	574221.911039249		1709874.99887738				2504026.80688252		919061.842810993	6537223.04293372	3643899.798851		5505501.64989594	2075764.47369894				15970629.6756358	4448296.61035635	3826415.66995685	1558758.54695281	1116884.17912549	1350808.79838365	3600666.6012477	1673430.59512828	3771873.28621975		3449928.534	3734034.335	3089844.111	1725793.424	3560111.083	4240379.914	2113414.47	4204412.73500001	766617.932200001	3863216.104	514366.953000001	482114.5138	1860806.696	6375930.76315396	3965645.81700001		6921196.579	5902135.90200001	2653875.84	335451.9945		5785470.68173632	1161627.44942573	2904359.8234482	2626648.62689593	2079336.43155909	1358470.367206	2601324.15578136	2096056.79945035	2589708.13185454	2943848.66678647	1611936.59598573	1104358.45408638	6248048.73725559	2226835.56624063	1385357.3060177	6163053.47331514	8080519.01257586	6829920.16321457		381689.17261696	4631994.11097223	624575.707271182	363077.537443554	3440161.07022269	1546907.1675188	10098939.3839248	9231328.98709433	6424111.79101486	5120372.75952067		5379517.57782592		5342159.50952794	2968506.52469168	724198.411442557	2192311.5592626	5399239.73940482	4884559.0663305	1925752.9512911	5836017.61925791							6872740.23403508
Q14839	IC	3;1;1	3;1;1	3;1;1	Chromodomain-helicase-DNA-binding protein 4	CHD4	1669913.119	436763.147		202478.5898	534845.6958		1222028.98161207			1651255.19102024	428732.26865182						345345.950280954		717508.64514914	711899.523741534	1384695.1057832	277862.188817464		347817.172911701		348599.252218644		527243.876426377	750096.850459868	497399.575123114	782568.433268651	449504.609016078		77887.6842513275	172539.7915			169326.1458	495098.9481	241359.9177			648174.7687	352587.0385	665354.075700001		455012.541400001		573421.909155969		1405205.194	384560.256300001	180827.562	383826.6276	1093854.049	1513313.14	201471.621973725		139009.1126101		623988.663900677						282182.712697123		798441.47802553	1145860.66966945	518947.133827117	230079.962471865	726608.176057852	296813.059238409	497267.662975491	984428.303420944	509848.137770755	294179.018985954	386442.031970835			680544.390448115	342982.011278258		532049.860687367				327049.456992142	529684.631909427		265645.610224973	468387.999047331	502475.659193623	281886.925479612			238322.886257457			1633709.40935955	373538.739765984	398075.727301242
P10645	S	27	27	27	Chromogranin-A;Vasostatin-1;Vasostatin-2;EA-92;ES-43;Pancreastatin;SS-18;WA-8;WE-14;LF-19;AL-11;GV-19;GR-44;ER-37	CHGA	44274897.58	26941436.6800001	46401714.77	5742454.60500001	31497016.2200001	14797914.5184926	60122184.6227018	35537601.7834596	11173279.9315333	27409291.3769004	23506689.5281765	7081531.43745123		2120177.04360154	20205922.1937145	1497980.49315816	2031454.04700785	3957375.6691384	13626853.3509505	1776214.26991159	10175005.0616994	11968447.7897819	1980971.70885456	9453636.52224561	2822893.05000001	14492831.8349145	34411205.8736002	3625869.77530503	34739987.654113	14893171.1235963	10279563.3215809	19161934.4095233	198025.900373719	4912630.76433254	4372968.10100001	28458020.74	29835099.9	14964597.01	18400878.05	7865178.77900001	27623037.67	52973323.7600001	74187519.4500002	3266898.457	13563233.23	4315593.861		986409.283100001	13039423.3284136	43601557.08	28800949.49	32963635.3100001	25232025.3600001	3320655.329	6646485.51800001	3646487.324	46120494.5021362	23738086.8524654	16126243.9068494	59231576.6582782	13778692.5978914	25446724.9380972	21396839.119536	19831868.8512601	19059221.5942986	25667732.7970345	8015729.56076402	11970426.4986314	144740408.989548	18985096.5731992	20439091.1315619	34382088.7152019	17233126.2130493	26477275.6452345	11309281.5208324	11286307.3281392	51383966.7309271	73881998.6489028	12618168.5468098	23581463.8122233	5614289.44551509	15651619.1103477	18769125.6197279	57533065.2638361	25315802.9306168	6498762.64348289	22367749.7498216	1434124.71240223	21261294.7256701	10556209.113933	2481421.98825813	1138140.51876808	1703052.4772118	40290229.8487818	16092185.648739	21291006.8175484	48864353.7680736	34614693.3121595	56434217.0500675	37971823.659994	21478137.6894822	7539751.10934462	25313637.2422945
Q9P2M7	IC	27;1	27;1	27;1	Cingulin	CGN	10478764.64	44879165.62	26458199.57	1515205.02	11639853.53	17953274.8223385	18211780.8665389	13805525.2871766	34170815.6892185	8705130.4458728	8368816.17491745	1459281.79502013	4129972.13481516	15179459.9133078	4985950.50835714		31227432.8922245	326830.196454655	13064578.9325382	4410095.35550094	33132523.9065125	7598033.06855081	16526286.9962687	18672209.649884		13304418.413638	6503761.02420407	10098793.7037281	15864848.9918103	32670028.3597931	2451049.43178458	21355911.5976204	19709002.1248259	24721672.0577436	936635.549800002	21060491.21	8707956.75500002	11725188.59	15526710.54	12316091.62	32990454.4200001	9952068.37100002	35398030.78	18234255.43	25525518.24	28441566.59	5403425.43900001	46683590.0200001	22420448.9103131	39480143.4900001	67459861.46	32337880.75	31755699.6700001	43099192.9100001	24932544.2	43873001.5400001	11989530.2238404	6546209.47393622	12169963.3273003	34500839.8996072	22226742.0806904	15389120.3877623	12582716.4235919	15367949.456718	11296096.6823444	12446418.9956045	19029452.2571752	26752680.3448116	13934574.0364127	17325605.5795446	12577640.7375422	24845485.2939574	26318219.5139814	21834191.5704534	14828948.3605477	8261323.14329261	20006176.9270887	27001374.9012962	9251892.66544385	14209761.0819257	6512108.00761898	26271137.8760892	23511848.763472	14056874.500631	35989959.8530272	8417638.73317903	15970566.2963256	7478253.52679357	20308012.9225656	29909023.4107079	502782.232715294	11281682.3993696	8541312.39543253	2229223.45094551	10569938.6756054	58382596.5445547	20183464.7103991	46418120.7562404	38227189.826502	208901840.15938	85681587.0870026	49350063.8487708	18862078.683541
Q8N0X4	IC	2	2	2	Citrate lyase subunit beta-like protein, mitochondrial	CLYBL	249636.1922	2275620.226	467567.9219						747201.354735067		1161704.18409064						133957.394448096		277447.744518397			116321.567426377			652654.151900001	1967329.72683646	300274.264247843		1532871.18747442	180753.840515919		1048867.47017448	85423.0231664464	1686461.88539913		887181.5091	1937305.608	2669229.824		1469078.203	823758.175500002		2497489.492	947764.7914	494353.595600001					4251266.35100001	4993659.72600001	4309548.976	5440151.22900001	2164209.653	1439531.062		796265.332969772	866790.19552434		1500136.4138579		1076684.74311005	1344414.81986669	1360881.57111731	5280062.77322715	1259824.12562997	707007.042619156	635101.607122793	1589099.9829281		169338.655678996	652138.147168734	415922.22509617	3558602.62034874		494625.792387071	1128523.08393204			1729637.7179833		523201.485215669	300141.978834191	1038366.50157367	1266420.64803359	105498.586563286	1086160.08423187	106137.094568529	1981398.972326	2932083.85489619					529744.899197927		2561468.79162919	7298493.07280157	1189889.0110696	6380253.2462471	1476980.52859606	3395957.5636952	2285740.0182708
O75390	IC	4	4	4	Citrate synthase, mitochondrial	CS		355946.916500001	2205918.484	236554.1553	964845.047100003	834434.72783403	504056.815566111	1534037.34604063	578954.310717108		1415795.87739193				301211.485811778		876769.279119857					236863.884087603				3549499.68871313	1395125.87622049		1477135.56105647	301646.835236481		778028.316708331		1269838.66257027	1374288.014	1459238.701	4527512.72600001	5348070.45800001	1135742.222	535568.829800001	767791.0139	778800.651500001	1897226.321		1324944.738			2072115.949	6128815.04642165	8033193.19300001	1808634.749	4601361.25400001	4777056.739		236948.374		999241.887194451	1962328.93129606	770847.209302018	1827024.95294	320924.402274498		2435122.76955181		3590225.46311205	1607662.45359892	620245.283346256	412850.529304834	922129.707754064		1480013.50496746	1323297.77404109	500131.57991567	3522724.84077288	384369.87493886		829789.248592015	968750.553335045	221877.736210887	2888817.80943135		6233257.51946218	5664961.72405725	3498519.7795616	3782308.45924916	630272.02516916	400796.495791989	236227.294294814	8334354.34384055	4440501.02438791	1244057.86897342	2401368.10026552		3973551.12927434		2891969.17226297	2532072.56667243	4862494.51918715	3713749.24365629			1446132.27445413	2379423.41894093
Q00610	IC	14;1	14;1	14;1	Clathrin heavy chain 1	CLTC	5139881.44800001	11338713.06	1787880.575	709131.311900001	31554500.0200001	4257327.94952838	7262208.29946206	9935017.85219857	5205639.64564584	1786208.6140278	8448948.15281107				12309304.4135989		734358.322775055	12293743.5328663	4394890.33604142	1803480.71703743	2994444.96616806	3628475.45032676	694201.702321867	3590337.84893501	211431.5382	29483308.0061963	10030801.841014	16266539.0968114	9814845.76682822	13105119.8855532	7683553.50248003	5375162.27219184	9570457.37456876	5078034.8604422	1526508.086	6111176.218	10011260.63	14988467	10984672.56	5273770.68300001	11592443.5	2042900.554	13507787.05	8126531.484	11017725.57	12310544.01		3801009.83800001	18271519.0674114	11875094.79	19325050.64	15696526.65	19668377.74	2319220.305	4355724.39100001	2611048.35100001	6515220.84870871	7080141.00745699	6828363.05561165	4711529.10794892	9898678.52011572	7400250.76426979	16379464.4844259	6736249.02687283	12475305.5297298	12093169.1811158	7585356.0015687	1711978.42788785	8991623.06675542	7807077.00341616	13210318.8430523	25094716.05398	8052862.71637819	9474887.89853989	6907977.14320268	3822878.06827464	4816283.87902709	9713089.55353357	6798061.78088014	14763369.7490274	1439974.50809601	14305828.7161613	40999045.3064495	24084111.6444145	15982979.5755294	2170356.19948931		5477145.25433497	46560771.6767752	28267056.451966	12960078.9704525	973092.077824185	22635250.5176658	21809270.5925062	24801123.2629257	4806154.76579423	10226222.1662624	7807488.08120295	2021721.62142838	14479740.2969169	12895883.7674599	14324555.2765263	9569652.53663957
Q14677	IC	2	2	2	Clathrin interactor 1	CLINT1	2381507.206	1307683.769	560101.755600001			343341.293493756	1438524.68336327		3014767.38765647		690077.739036938								2201688.05241162	678948.960124914	786966.437814983	1094337.60972317	326099.248230888	1101527.50742447			735280.07109189		2402997.68010595	1190272.02124343	576859.631387859	1192412.45533624	319563.361942281	1072185.78865882	546443.185500001	540683.969300001	367592.9224	474642.1169	954409.791700002	905528.524800001	546200.275800001		1480135.045		1676769.116					1682301.239	840960.492000001	2686820.75900001	2143699.028	818635.402000001	1550590.159	2739281.514	315420.548824316		408338.516490599	383561.403533501	525732.520816952	761315.545803118	639330.414405967		408730.336803404	377631.567642002	831204.078735695	287453.640273388	712042.84599492	1285309.8737155	554339.335908492	357434.529609861	1163597.99149283	1257220.47814847	405415.60120176	1018584.66108881	1041704.28339217		608617.134475706	1167604.57116481															906581.193537633	921540.52434712	641803.698985213	1376763.26105634	693350.233720687				2021840.73895214
P09496	IC	4	4	4	Clathrin light chain A	CLTA	100763743.4	13323265.59	5598880.516	6775889.42000001		5905434.81326904	6182267.84113689	4695786.42632024	4613306.97349844	16666491.1759905	3541650.11445244	403872.246936314		23736937.2228069	8904859.43449101	350212.400900923	7504980.6613275	2724689.05680454	3580809.95269057	5407556.81279209	1784040.38462526	4117854.212962	11623040.9651822	30412604.1957539	772573.443700002	3818360.81983328	5524301.20425611	11502614.9662909		8000207.68715397	4852472.78502846	3858341.42393586	4249022.42759882	7807417.62937755	6058769.82900002	11007753.22	6938874.814	9689958.17300002	3549848.985	5676079.05000001	3903973.524	4162978.07800001	4712965.578	1520439.829	8558028.74600001	1595512.858	8820504.17300002	1464860.973	4919625.06724153	628439.216300001		16519507.49	7251672.00900001	12050325.58	13169869.39	16744473.47	9683387.18644971	3505802.28183383	5368063.68693651	7073533.78659118	6490030.08615512	1906419.81588664	5670827.62632411	6697261.62383577	8666667.83142005	8130758.49604167	2543132.5012459	5966379.31142172	8189671.62045874	7508303.67383451	6615357.81486871	2572954.91219623	3070865.65353604	3820392.13285833	3476990.30567445	4040780.92089788	5373278.16812512	8732988.9985173	2721236.96546924	4027467.65619148	10251502.8292326	1965909.49738999	938314.498801627	3039929.26700683	2559135.54392243	11996965.8578856		15926012.7902222	7814105.22160886	8740497.76917638	1464069.99288793	2413905.71169449	6345517.36803707		17659258.0131043		7336398.37462038	8140988.48492018	6486726.40733183	6831162.56542066		6863498.79349188	13988967.337759
P09497	IC	9	9	9	Clathrin light chain B	CLTB	33488657.3	28307899.5700001	13033807.2	4884709.156		4052415.00893295	19080217.1222936	4444477.69341945	4682667.33518921	20952484.4181958	5450938.5158331			16782089.9970706	13977947.1853216		20063285.2628997	2912497.24035165	11347871.0133306	7513998.05344993	15443606.9699093	1160751.66930504	7965531.03951884	16320298.1853632	645632.313900001	4526262.91534962	5370322.29843188	20733655.3032472	13130408.2337926	29448426.4769885	2892025.02443138	2435050.4568734	7764735.45446299	6827760.58485639	2603034.356	4375873.63000001	5731163.215	8355751.56300002	5735535.06900001	4526303.82700001	7764349.98700001	7225939.07000001	4414865.55		4387558.66200001	2138206.038	10376807.06		8603918.17329332	8799074.56400001	5618217.61700001	18840788.4600001	22671954.19	29127786.82	26218198.2000001	45385910.1600002	6526342.20339343	2559477.17511205	7607429.96207396	10355996.0176935	21816263.2799946	2195225.36254779	6458013.70017363	7775913.10786134	6570468.94613358	7462289.59177291	3439817.48540644	5788650.60171816	10863351.7991681	10634382.0113921	11534760.5886982	1943435.63211635	566262.664647139	4984382.95228475	8875457.13997967	16987699.5489735	5959147.35175707	7891972.48049667	8783037.68914044	6669922.52936784	8329400.18638788	5846956.55374449	2160869.5590995	8475774.69889898	3251052.5634171	11177096.8371499		8564169.14045898	9787148.49290956	13133378.2155792		1641379.28528877	5501850.28480148	2071197.65731984	23730500.2993564	5117605.48381005	15488396.2597975	14384289.9196495	3527592.60620837	19362481.1678237	6721933.04795517	6731946.02962987	15816524.6737608
O15551	TM	3	3	3	Claudin-3	CLDN3	2828430.3	1097816.077		852597.341700002	15653659.84	1621973.68136805	1632600.939642	1709605.28033704		1004359.18515671	613952.360037987			4855300.64737942	1356875.63621293		5710548.15212626	2875195.63145528	558898.558222997			667745.343813905	4528089.19242164	2933054.60694914		2971215.17521172	308496.737818856	4743346.37785191	12271598.6196215	2966299.26255536		2171085.74967498	723731.946132966	1215497.75050926	3504223.02	1433955.876	496017.712500001	1363918.461	2249556.472	702223.8993	1861096.695	917580.213300001	3633918.107	962315.276	1670365.323		6418173.70600001	4464512.6	3007067.79851995		5179485.22200001	786726.313600002	652024.885900001	2134804.366	2202449.074	2704492.706		1134245.50831179	391321.738564577	3846527.72617658			1032923.45133073			1498906.60645738	2008820.99693176	1509792.12559523		1652151.5618627	785767.321130032	5137445.38348603	1159510.55359891	3243982.09176041	801332.231923453	1069861.95717707	1272315.20578762	2935882.60701725		1488371.94592669	6649401.05353645	1615165.58986568	3747848.45954147	688546.562077916	1769514.14340967	5042273.67426406	2724401.05208941	2422121.11152543	1544279.9267182	7566839.1181934		1004128.98911376	9692369.5892755	2515634.85266526	3831910.65611197	1289362.41304455		7240365.53956803		4278606.78668651	4949892.72048408	1099899.62188978	1308531.05257729
Q16630	IC	3	3	3	Cleavage and polyadenylation specificity factor subunit 6	CPSF6		1804377.372	427473.763	294831.2714		1530175.34159307	877107.928060029	2100233.20261023			1436745.41409614		594978.084165211	1461113.026979	733539.726395753		2772842.56474239				824354.696366784	1729115.4797838	1503966.07102291	2427285.05300901		964715.632605214	892307.759251448	1671401.80234867	5157101.51444883	668275.080393495	832368.638400729	878011.759704208	1434912.6161441	1092556.45791084	2114681.385	1611856.89	1136454.74	569223.7973		1574173.733	195402.3303				2022573.92900001		4571215.50000001	1934606.003		2647635.706	5535116.775	1117581.133	1513687.149	2082809.58700001	2292656.71400001	2815331.46600001	1516053.60563946	371728.616552666	1176619.57643525	487272.79769819	181640.67473557	600516.474462278	771383.319093271		1680631.20595569	419269.950030679	407225.345655307	1035017.7306289	358253.304995955	107473.962708425	1370248.57513985	410290.260603347	2358309.31620803	2530369.11338336		1137216.85777599	1158441.35700797	3086549.22769584		1191575.40168663		935339.355125557	646504.949903094	1363316.5861837	1408376.89378142	450714.739412275	421502.821918747	1350787.00251628	1545011.8129394	2440672.49445147		1335056.89423747			1661764.47719631	3114571.23830677	2110365.81545131	4443976.27990576		1981274.12295183	4478568.56975007	4792313.11668803	2407708.38324889
O96005	TM	1	1	1	Cleft lip and palate transmembrane protein 1	CLPTM1			270631.4629			3495479.24307252	1166953.2872627	3025863.98253159				2223023.53019953	3385211.29423609			732445.713338743			1204794.69378301	116652.785616295	867786.315675878		2816189.3023033				485480.092173233		3321645.28913685		290856.705061161	1757707.0572699	666223.485853502	861664.963818467	1802732.982	1176419.079			3106117.862	1081245.574	1502212.928		783526.2776	1304432.831	1412100.358			2234985.769		1160900.308	5635638.75700001				119165.5187	196718.5725	546626.413982786			2228638.33218607	872051.810575779	536282.535121573	240174.626166145	380611.065819327		400915.991584263	1033706.90570869	1048493.28055867	480613.851074102		554490.423217269	1679204.00182062	2217384.21867141	1587296.0502464	344624.48456665	929781.551919277	750371.156315046	1803626.90651172	243974.511274343						1655790.35384035			503208.936488592		1052450.13528489		958892.419923363				1479358.88150093		3474813.39101913			8342388.01110312	922789.306290345	
